question_text,option_a,option_b,option_c,option_d,correct_answer,category,difficulty
What does the HTML <template> element do?,It renders its content immediately on page load.,It holds client-side content that is not to be rendered when a page is loaded but may subsequently be instantiated during runtime.,It creates a grid layout template automatically.,It defines a new custom web component.,B,HTML,Medium
Which attribute specifies that an input field must be filled out before submitting the form?,validate,placeholder,required,important,C,HTML,Easy
"In HTML5, which element is used to specify a footer for a document or section?",<bottom>,<section>,<footer>,<end>,C,HTML,Easy
What is the correct HTML element for playing video files?,<movie>,<media>,<video>,<play>,C,HTML,Easy
Which HTML attribute is used to define inline styles?,class,font,styles,style,D,HTML,Easy
What is the semantic meaning of the <mark> element?,Defines text that has been deleted,Highlights text for reference or relevance,Creates a bookmark link,Bolds the text for visual emphasis only,B,HTML,Medium
"How do you specify an alternate text for an image, if the image cannot be displayed?",alt,title,src,longdesc,A,HTML,Easy
Which HTML5 API allows you to store data locally within the user's browser with no expiration time?,SessionStorage,Cookies,LocalStorage,WebSQL,C,HTML,Medium
Which of the following is NOT a valid HTML5 input type?,color,date,email,ip_address,D,HTML,Medium
What does the 'defer' attribute do when used in a <script> tag?,It blocks HTML parsing until the script is fully downloaded and executed.,It delays the execution of the script until the HTML parser has finished.,It prevents the script from executing.,It executes the script asynchronously as soon as it is downloaded.,B,HTML,Hard
"In Tailwind CSS, how do you apply a class only on hover?",onhover:bg-blue-500,hover-bg-blue-500,hover:bg-blue-500,active:bg-blue-500,C,CSS & Tailwind,Easy
What is the CSS property used to control the space between flex items?,margin,padding,gap,spacing,C,CSS & Tailwind,Medium
Which of the following CSS selectors targets all <p> elements that are direct children of a <div>?,div p,div > p,div + p,div ~ p,B,CSS & Tailwind,Medium
"In Tailwind CSS, what does the class 'md:flex' signify?",Apply display: flex only on mobile devices.,Apply display: flex on screens equal to or larger than the 'md' breakpoint.,Apply display: flex on screens smaller than the 'md' breakpoint.,Create a flex container that is medium-sized.,B,CSS & Tailwind,Easy
What is the default position value of an HTML element in CSS?,relative,fixed,absolute,static,D,CSS & Tailwind,Easy
Which Tailwind utility is used to center an absolutely positioned element horizontally and vertically?\n`top-1/2 left-1/2 ___`,-translate-x-1/2 -translate-y-1/2,transform-center,margin-auto,flex-center,A,CSS & Tailwind,Hard
How do you write a CSS variable (custom property)?,$main-color: blue;,@main-color: blue;,--main-color: blue;,var main-color = blue;,C,CSS & Tailwind,Medium
What is 'z-index' used for in CSS?,Zooming an image,Controlling the vertical stacking order of elements that overlap,Setting the z-axis rotation of a 3D element,Defining the opacity of an element,B,CSS & Tailwind,Easy
What does the Tailwind class 'w-full' translate to in pure CSS?,width: 100vw;,width: 100%;,width: auto;,width: max-content;,B,CSS & Tailwind,Easy
"If an element has 'box-sizing: border-box', how is its total width calculated?",Width = content width + padding + border,Width = content width (padding and border are included inside this width),Width = content width + margin,Width = content width + padding + border + margin,B,CSS & Tailwind,Hard
What is the output of the following code?\n```js\nconsole.log(typeof null);\n```,"""undefined""","""null""","""object""",Throws an error,C,JavaScript,Medium
"Which keyword is used to declare a block-scoped, re-assignable variable in ES6?",var,let,const,block,B,JavaScript,Easy
"What is the output of `0 == ""0""` and `0 === ""0""` respectively?","true, true","false, false","true, false","false, true",C,JavaScript,Medium
How do you create an arrow function in JavaScript?,function = () => {},() => {},=> function() {},function() => {},B,JavaScript,Easy
What will this code output?\n```js\nconsole.log([] + []);\n```,[],undefined,"""""",NaN,C,JavaScript,Hard
Which array method creates a new array populated with the results of calling a provided function on every element?,forEach(),map(),filter(),reduce(),B,JavaScript,Easy
What is a Closure in JavaScript?,A function bundled together with its lexical environment.,A method used to close a database connection.,The end of a code block denoted by `}`.,A way to make variables completely public.,A,JavaScript,Medium
What does `Promise.all()` do?,Runs all promises sequentially.,Returns a single Promise that resolves when all passed Promises have resolved.,Returns the first Promise that resolves or rejects.,Cancels all running Promises.,B,JavaScript,Medium
"What will this code output?\n```js\nsetTimeout(() => console.log('A'), 0);\nconsole.log('B');\n```","A, then B","B, then A",Simultaneously,Throws an error,B,JavaScript,Medium
"What is the result of `1 + ""1"" - 1` in JavaScript?",1,11,10,NaN,C,JavaScript,Hard
What Hook should be used to perform side effects in a React functional component?,useContext,useState,useEffect,useReducer,C,React,Easy
What is the Virtual DOM in React?,A direct clone of the actual DOM used for backups.,"A lightweight, in-memory representation of the real DOM.",A separate browser window.,A database structure to store React components.,B,React,Medium
